typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","372","IRL","Ireland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"262502275","262502275","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","372","IRL","Ireland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2634638579.183","0","2634638579.183","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","372","IRL","Ireland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1777429270.692","1777429270.692","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","380","ITA","Italy","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10189739953",,"10189739953","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","380","ITA","Italy","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11359685453","11359685453","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","380","ITA","Italy","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8473824869.142","0","8473824869.142","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","380","ITA","Italy","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","11377765293.29","11377765293.29","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","392","JPN","Japan","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2354790280",,"2354790280","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1355748612","1355748612","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","392","JPN","Japan","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8324916210.237","0","8324916210.237","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1932711611.76","1932711611.76","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","442","LUX","Luxembourg","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","246154169",,"246154169","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","442","LUX","Luxembourg","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"174806437","174806437","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","442","LUX","Luxembourg","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2525621114.345","0","2525621114.345","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","442","LUX","Luxembourg","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","6437744528.036","6437744528.036","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","528","NLD","Netherlands","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4280519074",,"4280519074","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","528","NLD","Netherlands","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2276997592","2276997592","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","528","NLD","Netherlands","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","67131549510.397","0","67131549510.397","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","528","NLD","Netherlands","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","35667749189.959","35667749189.959","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","579","NOR","Norway","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","769419180",,"769419180","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","579","NOR","Norway","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"553774569","553774569","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","579","NOR","Norway","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4020638472.356","0","4020638472.356","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","579","NOR","Norway","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1311533520.678","1311533520.678","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","620","PRT","Portugal","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","529438713",,"529438713","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","620","PRT","Portugal","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"449128681","449128681","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","620","PRT","Portugal","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1336998484.544","0","1336998484.544","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","620","PRT","Portugal","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1589245670.163","1589245670.163","4","false","true",
